symbol,WK0,WK2,WK4,WK8,WK79,Sex
Cnot9,1835.27,1439.12,1128.27,1103.01,889.15,F
Plcd4,39.45,34.67,92.3,124.21,121.99,F
Zfp142,237.39,169.64,111.53,121.35,186.88,F
Bcs1l,421.73,814.77,1108.56,1209.56,1016.85,F
Rnf25,634.5,634.69,713.24,727.75,648.95,F
Stk36,120.96,125.17,111.46,102.6,128.15,F
Ttll4,382.1,241.44,255.48,219.46,324.07,F
Cyp27a1,121.05,77.36,258.9,477.92,930.56,F
Prkag3,17.44,9.7,38.57,90.2,212.97,F
Ihh,47.47,57.96,70.67,97.84,114.14,F
Nhej1,272.49,212.12,308.72,321.29,268.55,F
Slc23a3,278.91,259.76,674.85,350.82,578.52,F
Cnppd1,2207.37,2087.48,2507.01,2575.1,2320.03,F
Retreg2,340.85,560.82,931.62,907.86,908.17,F
Zfand2b,630.09,837.37,1092.93,1088.69,935.36,F
Atg9a,457.67,281.7,249.84,251.12,453.13,F
Ankzf1,608.25,663.57,752.06,733.16,683.02,F
Glb1l,1039.1,2332.17,2663.24,2895.75,2887.09,F
Stk16,897.54,845.04,1490.75,1381.31,2117.49,F
Tuba4a,4311.46,5493.84,7027.27,6265.03,8394.16,F
Dnajb2,189.71,335.7,470.69,700.45,888.96,F
Dnpep,2364.87,2600.33,2416.73,2486.25,2211.8,F
Des,258.82,132.36,153.83,186.9,335.87,F
Speg,327.74,210,102.02,60.02,88.66,F
Gmppa,1356.37,1691.63,1457.22,1532.37,1388.56,F
Chpf,189.68,173.69,128.87,120.14,189.04,F
Obsl1,260.16,158.98,43.89,21.52,33.94,F
Stk11ip,801.26,516.91,392.32,344.01,387.54,F
Slc4a3,167.8,88.15,61.62,53.43,85.84,F
Epha4,774.6,422.79,189.5,198.27,205.51,F
Sgpp2,699.62,554.52,576.53,638.79,913.68,F
Farsb,1671.59,1653.29,1743.28,1881.84,1752.2,F
BC035947,84.22,86.46,416.6,657.55,891.54,F
Mogat1,20.77,118.84,644.78,978.71,493.13,F
Acsl3,327.31,297.76,276.91,231.5,158.71,F
Utp14b,89.58,24.84,22.56,17,14.7,F
Kcne4,180.42,297.13,205.96,234.64,151.86,F
Wdfy1,574.75,585.99,519.32,399.25,1510.66,F
Mrpl44,1057.78,1510.65,2013.21,2284.08,1637.54,F
Serpine2,4741.13,3810.13,785.63,745.01,1487.14,F
Cul3,1026.32,761.24,1203.12,1135.88,840.76,F
Dock10,87.67,176.52,85.28,79.56,162.01,F
Irs1,150.74,181.36,162.23,154.02,138.34,F
Rhbdd1,317.23,584.15,546.99,588.5,800.55,F
Col4a4,1130.23,6311.47,4945.82,3405.19,2983.53,F
Col4a3,3316.86,19564.27,21259.06,13404.23,10389.07,F
Mff,1213.61,673.84,843.47,715.68,912.47,F
Agfg1,399.43,345.39,438.64,373.16,298.28,F
Slc19a3,115.02,328.21,652.44,531.43,543.15,F
Pid1,283.8,317.17,113.31,126.36,185.63,F
Trip12,1584.29,1538.03,1775.57,1604.2,1663.78,F
Fbxo36,256.67,566.57,1113.72,1232.87,917.93,F
