symbol,SexDiff_log2FC,ArKObulk_log2FC,ArKOsn_log2FC,Sex
Inmt,-2.04172849142543,-1.88189647455241,-1.10648046148302,M
Irf6,-1.07994996253826,-0.801272511250203,-2.68466973360875,M
Kap,-1.52436003301041,-2.59762325896193,-1.15985625235141,M
Kcnk1,1.96811871695509,1.4939691333204,2.14542738405555,F
Kif20b,-3.33770456139231,-3.09527100279515,-3.43813595774075,M
Kyat1,-1.50641108133413,-1.20700844359839,-1.32462795741042,M
Kynu,2.95273457709057,2.57617712609925,2.08765788160093,F
Lap3,-1.09198086738969,-0.978975103421099,-1.38132582765385,M
Ldhd,-1.87148785851404,-1.62638528532586,-1.47856845631772,M
Lipo3,-2.41362700111528,-1.67141215297776,-3.04450807373689,M
Lyplal1,1.47648412642913,1.20765481371826,1.8056678901569,F
Map2k6,-0.76690814145124,-0.692233858985711,-1.50532890292052,M
Mcoln2,1.60650872491553,1.01986428796876,1.2775545318998,F
Mgat4a,1.20860235585513,1.36463995148915,5.12708574806604,F
Mgst1,0.91195097998291,1.11767342323581,1.68688912900321,F
Misp,0.563262146147613,0.712330229269401,1.80515765317867,F
Mkrn1,-0.802484820344014,-0.756101903324694,-1.85798616324777,M
Mrnip,-0.687223292720424,-0.847304196353418,-1.19820919791972,M
Msrb1,-1.1498039355803,-0.937835007794589,-0.992548318133653,M
Myof,0.892296199478748,1.13372725758555,2.5799739250867,F
Nat2,-1.46665440083577,-1.03264076389042,-1.29031065077405,M
Nat8f5,-2.5922151207992,-1.26387242283767,-1.4039643014479,M
Nhp2,-1.20073437069663,-1.11059630779792,-1.48567436148288,M
Nlrc4,-1.917058040689,-1.4938175896449,-1.11965485042711,M
Npnt,0.599219359203404,0.591981571592168,-1.08048931734345,F
Nudt19,-1.46716465937725,-1.58944051014318,-1.3399109303405,M
Oat,1.21338960707392,0.8378373453412,4.02379793965402,F
Odc1,-1.62862549109093,-1.49323384745649,-0.991308952736194,M
Pank1,-2.26720839085026,-1.59034108327506,-0.907266263027237,M
Pctp,-0.830636988683259,-0.743598647942008,-1.30827811060943,M
Pdzrn3,-0.875203451662407,-0.790438860077185,-1.16593701114755,M
Pecr,-1.40347620355143,-0.92859546035099,-0.964115920060447,M
Ppt2,-0.992900117926588,-1.00812364986541,-1.03562833848118,M
Prkd3,-0.82896452937336,-0.884892199146382,-1.66890241775043,M
Prlr,4.02556148549626,3.70388627702764,2.65315455973362,F
Prodh2,0.836309787617345,0.572913705655223,1.64678236804786,F
Prom1,1.39675749644172,0.80294515784777,2.40873583206718,F
Pzp,-7.38824653305587,-4.25841098380426,-6.33023099840037,M
Radx,2.21522546387683,1.76900764419626,2.42101416184561,F
Rdh16f2,2.11074172432484,2.12832161984143,2.22272425583932,F
Scd1,3.09853075314384,1.04552142160055,1.72159293653954,F
Sdc2,-1.15142926118774,-1.09763796885292,-2.03760260501013,M
Sec11a,-0.753613924554221,-0.619101194271569,1.16331008891587,M
Selenop,-1.34363014978057,-1.41944941183409,-1.87535329521786,M
Serpinf2,-2.8193990199843,-2.38353831690368,-1.26898380957383,M
Sgk1,0.679789599980307,1.29298446429542,1.44806469137325,F
Sgpp1,-0.691365090735806,-0.64976148614588,-1.06077983111635,M
Sh3bp2,-2.1271846622637,-1.66484399185272,-2.08804431536201,M
Slc17a2,4.96936970757435,2.9417233843459,3.77199078924347,F
Slc17a3,-1.53486193593783,-1.37876552376991,-1.11304388438939,M
