symbol	Six2-Ar-KO	Sox2-Ar-KO	Sex	FvsM
Fbxo36	-0.61133133054429	-1.18818110490758	M	-0.961489016602249
Fbxo40	-1.27134444119819	-1.22341099627242	M	-1.11043032164565
Fbxo7	-0.6086547024457	-0.594563881593853	M	-0.928011722350084
Fcamr	-2.29714969672862	-1.88453155624	M	-1.54056050876751
Fgb	1.10855569107037	2.0228431148213	F	1.43518101486339
Fhl1	-0.850530521277844	-0.78317527583037	M	-0.91262992328093
Fkbp5	-0.0319980189355175	0.102718163095592	M	-1.25454374749403
Flvcr2	0.420198576515985	1.10183052745737	F	1.51482600340169
Fmo5	-2.32514217452245	-3.14431578065896	M	-2.86821861964585
Foxq1	1.07794396627851	0.47372517384102	F	1.97844033092664
Frmd4a	0.53345154890955	0.990859794162167	F	0.673680398020139
Frzb	-1.07099214796697	-1.29869543820722	M	-1.3057588829434
Ftcd	-0.872373465432272	-1.2264366537546	M	-1.90438027471705
Fuca2	-0.886795863600262	-1.27340510657172	M	-1.08471999397073
Fzd3	0.443237394814261	0.74455787398947	F	0.740278682196358
Galns	-1.49564170730883	-1.68740488099003	M	-1.7857760634569
Galnt1	-1.01737068084451	-1.0470610521315	M	-0.852373172917066
Galnt14	-0.651048894467743	-0.667635520118445	M	-0.802311554102899
Gas2	-0.884029632730297	-1.08342213819141	M	-0.788280699004313
Gbp3	1.52442509089345	1.47333828240601	F	2.55581849860793
Gc	2.67654808296409	3.08573669451876	F	2.21278626061282
Gcm1	0.933732374210515	0.886614648799996	F	1.1463415109027
Ggct	-0.960549948912265	-1.2871802461683	M	-0.624285351003118
Ggt1	-0.890917722439308	-0.917678597899127	M	-0.929863036988373
Gimap8	1.18954009573756	1.63623931789713	F	2.11157856774756
Glb1	-0.830879931013655	-0.71551090662418	M	-0.874016778126444
Gm11992	-0.931924072762106	-0.846745336519109	M	-0.772990718529792
Gm12678	-1.57141042368007	-0.636753912032465	M	-0.741547848264423
Gm15348	-2.78093401719234	-3.63351940381187	M	-4.42921617454113
Gm15638	-0.870959621975607	-1.31443661935302	M	-1.21234972347902
Gm15823	-0.655793651789887	-1.30143684869928	M	-0.792216283517586
Gm15883	-1.10734292711067	-0.93906149550207	M	-0.665676601801125
Gm16010	2.25193251110203	2.21327427961046	F	1.9531306109929
Gm27216	-1.50705375973277	-2.05763710423612	M	-2.18692077757419
Gm29012	-2.4626678842674	-3.23751317745122	M	-2.48664811682949
Gm31369	2.00273622058219	3.0113876597736	F	3.49298531055636
Gm32461	-0.807037066887622	-1.36070830095381	M	-0.867802857843872
Gm4131	-0.761515423295019	-1.40029463010925	M	-1.03939163656634
Gm4208	-2.59750815349444	-2.63031873649674	M	-2.60053746908378
Gm45645	-2.57973948021025	-4.12500338538779	M	-4.37024966781393
Gm45871	-0.202488772422761	-0.636204531925859	M	-1.06699981827798
Gm53	0.726563845947938	0.941808602059041	F	0.733163964531599
Gm9973	0.588743511090417	0.808529794648317	F	2.13375041184182
Gna14	-0.400377689750042	-0.826897459162697	M	-0.699741929554749
Golm1	0.670254388474024	0.558402631159045	F	0.682695474380489
Golm2	-0.812375418199159	-0.759801106576403	M	-0.590834572078162
Gpat3	0.484330379262299	0.886668114730457	F	0.907515937502289
Gpt	-0.534533328517499	-0.549201121801158	M	-0.502475966918516
Gpx1	-0.268165329920206	-0.523780226601087	M	-0.694037618088779
Grtp1	-0.566553251598727	-0.710071428600651	M	-0.661428132474103
Gsap	-1.30488460606201	-1.07930046704495	M	-1.65965133477627
Gsta2	1.33801337131567	1.50320881285109	F	1.99444974035181
Gsta4	1.46664537125409	2.28383183585156	F	2.53983555552108
Gsta5	1.44775607538485	3.06645950563059	F	3.53909442386148
Gsto1	0.875122122952308	0.708492534107984	F	0.814214000020296
Gusb	-0.594602138981588	-0.67348468450018	M	-0.877882348067894
Hacd2	-0.603224909954351	-0.87118083946676	M	-0.606436804466202
Hacl1	1.29764363194619	1.1771647289777	F	1.70308828121885
Halr1	0.478090063840761	0.852870478110252	F	1.24765134435103
Hao2	1.67078973539836	1.66488261229592	F	1.70214130059904
Herc4	-0.872796324145662	-0.947921660675132	M	-1.19849823221466
Hgfac	0.400335920964626	0.457804462106963	F	0.59541207616994
Hoxb5os	0.497954000764095	0.0457275405621088	F	0.56889305360118
Hoxb9	0.747151115104431	-0.0995439773512457	F	0.665872039892706
Hpd	1.28310721253102	2.70973534582619	F	2.19665399844751
Hpgd	0.37219404821156	0.511244232713317	F	1.3356993680555
Hs3st3b1	0.351052442334789	0.473089189708629	F	0.537807155499355
Hsbp1l1	0.223777051301953	-0.0490681763557885	F	0.78098052455544
Hsd11b1	-1.15210400914548	-1.47306206851395	M	-1.21409865824532
Hsd17b11	-2.08172950559962	-1.84084090734566	M	-1.40387255194045
Hsd17b14	1.60065571005874	1.90760533242937	F	2.35474434347857
Hsd17b2	-2.52960298987387	-2.03766311149674	M	-2.17206126996236
Hsd3b3	-0.509479441443454	-0.521033120202219	M	-0.727098025501426
Hspa2	0.392563548346886	0.359647207474809	F	0.939536382669089
Htra1	-0.265931202624905	-0.562625991798398	M	-0.842609186859076
Htt	-0.627891507152914	0.019573814373911	M	-0.690796735008627
Hunk	-0.674423325042148	-1.35002022971857	M	-0.995818420654772
Hykk	-1.11125430964965	-0.916043078414054	M	-1.04921895134393
Id4	0.722732053035823	0.537185197171753	F	1.21659563140887
Idi1	-1.68191487889333	-2.12785559581007	M	-1.7272270676476
Ido2	-0.890308403829236	-0.510793044656556	M	-0.97419378251836
Ifrd2	-0.474813579846528	-0.557861844382771	M	-0.975821403353241
Igf2bp1	-1.31793509845027	-2.01925858387216	M	-1.82263562009689
Igfals	0.462057008506504	0.807943128094215	F	1.28432689245956
Il18bp	0.854981095424407	0.658069223551074	F	1.79622403887664
Il34	-0.7596258789568	-1.344032766167	M	-1.84981456039019
Inmt	-1.87826661022956	-1.56400868380683	M	-2.04172849142543
Irf6	-0.795983666075337	-0.878773666836673	M	-1.07994996253826
Kap	-2.59494789501422	-3.79772332433913	M	-1.52436003301041
Kcnj15	-0.63309067163101	-0.388365224266704	M	-0.659378306538549
Kcnk1	1.49688894494169	0.991084992976732	F	1.96811871695509
Kdm5d	0.0223889419239956	0.0806545672198989	M	-7.50209199933235
Kdm6a	-0.113660739922776	0.150947726698344	F	0.861784016746315
Kif20b	-3.09946275898541	-3.99550449569285	M	-3.33770456139231
Kng2	0.319930159791059	0.48204986302356	F	0.668077524044377
Kyat1	-1.20315172596973	-1.21742168484455	M	-1.50641108133413
Kynu	2.58190409236953	2.60489628095473	F	2.95273457709057
Lama3	-0.65336725736471	-0.26262140543199	M	-0.833977222350733
Lap3	-0.976472979571672	-1.16007467369135	M	-1.09198086738969
Larp4b	-0.543576691832566	-0.185613336319384	M	-0.697828702597306
Ldhd	-1.62313121673634	-1.88211132251388	M	-1.87148785851404
Lhfpl2	0.729296158629843	-0.0957239392339367	F	0.95835554740455
Lhpp	0.466041222881194	0.31267132708545	F	0.96648567791148
Lipo3	-1.68160517742927	-2.26780675853585	M	-2.41362700111528
Lrrc3	-0.706246497804165	-0.704721046861032	M	-0.638711091691285
Lyplal1	1.21223452622765	1.14098965006738	F	1.47648412642913
Lyrm4	-0.516267930508502	-1.09137097155987	M	-0.512488373759105
Lztr1	-0.662056092163279	-0.716468587234765	M	-0.877174018415597
Mab21l4	1.19647402659663	0.993721765748252	F	1.62456993991408
Macrod2	-1.20933004751651	-1.65258150266325	M	-1.44170496610813
Maoa	0.657065675581056	0.523727900168496	F	0.883665256202918
Map2k6	-0.684279684870932	-0.375860638403109	M	-0.76690814145124
Mcm10	-0.88862009278545	-0.844025832937818	M	-2.00728746248795
Mcoln2	1.027701507428	1.58026209074136	F	1.60650872491553
Me1	-1.10472835404487	-1.35547774684989	M	-1.46638162494521
Me2	0.833019578325451	0.123487855470037	F	0.823737545141813
Mep1a	-0.784368465108709	-0.763611320064182	M	-0.839735022626787
Mgat4a	1.36906757170704	1.37074191251885	F	1.20860235585513
Mgst1	1.12304479978782	0.877039587784056	F	0.91195097998291
Mir22hg	-0.504618747917902	-0.424771537556112	M	-0.591544425549747
Misp	0.721417570842351	0.420294633173847	F	0.563262146147613
Mkrn1	-0.748951156067682	-0.79204740234326	M	-0.802484820344014
Mmd	0.654128514928261	0.11666063707841	F	1.08540218176007
Mme	0.320415951603999	0.749530514678129	F	0.62574919849313
Mmgt2	0.524212216289375	0.276937077776795	F	0.736301980692889
Mogat1	-1.18809380595397	-1.85511625510976	M	-2.75180911808863
Mpp1	-0.361092669117398	-0.472986179373782	M	-0.848862577488346
Mrnip	-0.836012237278648	-0.925518499711559	M	-0.687223292720424
Msrb1	-0.935245464723822	-1.20975682207474	M	-1.1498039355803
Mtfr1	-0.603322520404736	-0.533394908539694	M	-0.662012041406583
Mvd	-0.652729246241943	-0.911774155984404	M	-0.792556898684211
Myof	1.13658139085642	0.892555151396864	F	0.892296199478748
