symbol,tested,sum_a,sum_b,common_mean,dispersion,mean_a_sizenorm,mean_b_sizenorm,log2FC,p,p_adj,significant,Direction
Pdp1,TRUE,3,4,0.001891644,27.23712483,0.002071209,0.002140098,0.0456814,1,1,FALSE,UP
Gm11842,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Fam92a,TRUE,69,81,0.043158986,27.83422837,0.047637807,0.043336992,0.139340508,0.702043906,1,FALSE,UP
Gm11846,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm11820,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Pip4p2,TRUE,263,332,0.172731872,27.9343263,0.181575987,0.177628164,0.032625248,0.906234054,1,FALSE,UP
Gm11844,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Decr1,TRUE,400,452,0.245079932,27.50523268,0.276161197,0.241831114,0.191700682,0.48851627,1,FALSE,UP
Ripk2,TRUE,23,24,0.014904711,42.25836495,0.015879269,0.01284059,0.308715806,0.563455474,1,FALSE,UP
Gm11861,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm11867,TRUE,318,398,0.244244496,29.04278842,0.219548152,0.212939786,0.044777173,0.867072901,1,FALSE,UP
Cngb3,TRUE,3,2,0.001764071,113.310606,0.002071209,0.001070049,0.782646995,0.684261807,1,FALSE,UP
Rmdn1,TRUE,501,636,0.352432434,28.47062488,0.3458919,0.340275639,0.024003487,0.920280239,1,FALSE,UP
4930480G23Rik,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Ttpa,TRUE,47,54,0.029829506,29.47453148,0.032448941,0.028891328,0.171212283,0.663344916,1,FALSE,UP
Gm11872,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Prdm13,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Pnisr,TRUE,1994,2525,1.416507489,27.43925166,1.376663569,1.350937088,0.027143603,0.901917751,1,FALSE,UP
Pou3f2,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm30731,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
1700025O08Rik,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm28448,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm27243,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Mms22l,TRUE,21,27,0.013214202,27.23712483,0.014498463,0.014445664,0.019686192,1,1,FALSE,UP
Ndufaf4,TRUE,705,826,0.519087877,27.83394835,0.48673411,0.441930311,0.139390349,0.599186563,1,FALSE,UP
C230012O17Rik,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Ufl1,TRUE,294,327,0.18904051,28.93171218,0.20297848,0.174953041,0.214628635,0.462869424,1,FALSE,UP
Gm11915,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm11917,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm11916,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
4930556G01Rik,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gja10,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gabrr1,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Srsf12,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Pnrc1,TRUE,85,91,0.063186878,48.5074163,0.058684254,0.048687238,0.270312294,0.520854109,1,FALSE,UP
Rngtt,TRUE,349,430,0.206146196,27.23712483,0.240950645,0.230060573,0.067276548,0.801102091,1,FALSE,UP
Spaca1,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm12753,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Orc3,TRUE,318,404,0.200983159,27.509907,0.219548152,0.216149934,0.023244011,0.921004051,1,FALSE,UP
Cfap206,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Cga,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Platr9,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Ifnk,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm12371,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm12374,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm17094,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
1700009N14Rik,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Topors,TRUE,101,121,0.069887949,30.09583812,0.069730702,0.064737975,0.1092975,0.755658317,1,FALSE,UP
4930509K18Rik,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Tmem215,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
4933428C19Rik,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Aptx,TRUE,50,55,0.035685678,32.24588945,0.03452015,0.029426352,0.232679915,0.580518266,1,FALSE,UP
Chmp5,TRUE,93,110,0.062648675,31.51910327,0.064207478,0.058852705,0.127782481,0.710433942,1,FALSE,UP
Nol6,TRUE,28,30,0.018821006,27.50825961,0.019331284,0.016050738,0.27139418,0.58760437,1,FALSE,UP
Ubap2,TRUE,575,698,0.378131649,27.65615874,0.396981721,0.373447163,0.088385851,0.734305148,1,FALSE,UP
Ubap1,TRUE,359,411,0.225382433,27.77147398,0.247854675,0.219895106,0.172962064,0.531920732,1,FALSE,UP
1110017D15Rik,TRUE,3,2,0.001325066,225.7326421,0.002071209,0.001070049,0.782646995,0.705029405,1,FALSE,UP
Fam219a,TRUE,101,129,0.066571012,27.70744658,0.069730702,0.069018172,0.017667024,0.969036207,1,FALSE,UP
Gm12404,TRUE,2,2,0.000793359,27.23712483,0.001380806,0.001070049,0.367609495,1,1,FALSE,UP
Dnaic1,TRUE,11,14,0.008246273,219.2456102,0.007594433,0.007490344,0.0456814,1,1,FALSE,UP
Gm12406,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm12405,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Dctn3,TRUE,51,57,0.033825899,30.95496159,0.035210553,0.030496402,0.210068218,0.585299285,1,FALSE,UP
Arid3c,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Ccl27a,TRUE,36,39,0.027091557,36.45828509,0.024854508,0.020865959,0.255134766,0.605879072,1,FALSE,UP
Gm13307,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm21541,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Fam205a4,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm3892,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm3893,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm13304,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm13299,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
